#   line (B)  time (µs)
           1      8184.5
           2      4173.8
           4      2543.6
           8      2421.2
          16      2414.2
          32      2384.1
          64      2496.0
         128      2194.6
         256      1273.7
         512       637.9
        1024       399.5
