#   line (B)  time (µs)
           1     10915.2
           2      5490.2
           4      2843.8
           8      2573.7
          16      2510.7
          32      2440.9
          64      2405.3
         128      1766.0
         256      1176.7
         512       617.6
        1024       329.0
