#   line (B)  time (µs)
           1     10910.9
           2      5491.2
           4      2843.4
           8      2458.6
          16      2383.7
          32      2398.2
          64      2378.9
         128      1769.8
         256      1163.4
         512       620.9
        1024       328.0
