#   line (B)  time (µs)
        1024       646.7
        2048       646.7
        4096       646.7
        8192       646.7
       16384       646.7
       32768       646.7
       65536      1093.5
      131072      1100.0
      262144      1296.5
      524288      1826.1
     1048576      1836.2
     2097152      1839.9
     4194304      5648.5
     8388608      7655.0
    16777216      9932.0
    33554432      9727.8
    67108864      9940.5
