#   line (B)  time (µs)
        1024      4304.9
        2048      4266.3
        4096      4302.1
        8192      4307.9
       16384      4308.8
       32768      4334.6
       65536      4511.9
      131072      4549.2
      262144      4577.1
      524288      4664.0
     1048576      4679.6
     2097152      4795.9
     4194304      5953.5
     8388608      8232.5
    16777216      9257.9
    33554432      9725.8
    67108864      9952.7
