#   line (B)  time (µs)
        1024       646.8
        2048       646.7
        4096       646.7
        8192       646.8
       16384       646.7
       32768       646.8
       65536      1118.5
      131072      1191.7
      262144      1430.9
      524288      1811.5
     1048576      1838.4
     2097152      1926.1
     4194304      5248.7
     8388608      7734.2
    16777216      9178.6
    33554432     10488.7
    67108864     10107.7
