#   line (B)  time (µs)
        1024       646.7
        2048       646.7
        4096       646.7
        8192       646.9
       16384       646.7
       32768       646.7
       65536      1119.1
      131072      1153.8
      262144      1507.6
      524288      1805.1
     1048576      1835.0
     2097152      2041.5
     4194304      4967.7
     8388608      7703.3
    16777216      9080.3
    33554432      9780.1
    67108864     10011.3
